City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Hilo,US,74.93,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
106,Hobart,AU,73.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
107,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
112,Bambanglipuro,ID,80.42,overcast clouds,-7.95,110.2833,Puri Brata
113,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
115,Bandarbeyla,SO,78.67,clear sky,9.4942,50.8122,JABIR HOTEL
116,Daru,PG,84.74,overcast clouds,-9.0763,143.2092,Daru Lodge
118,Atambua,ID,82.67,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
120,Grand Gaube,MU,82.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
121,Kalianget,ID,78.84,moderate rain,-7.05,113.9333,Pesanggrahan Garam
126,Imbituba,BR,70.83,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
132,Gigmoto,PH,80.73,overcast clouds,13.7796,124.39,Cj's Travellers Inn
135,Airai,TL,70.99,moderate rain,-8.9266,125.4092,Juvinal Martin
136,Batemans Bay,AU,72.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
151,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
152,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
153,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
154,Robertsport,LR,79.52,moderate rain,6.7533,-11.3686,Kwepunha Retreat
155,Yulara,AU,93.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
157,Luganville,VU,83.26,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
164,Dakar,SN,72.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
166,Barabai,ID,83.48,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
167,Kuliyapitiya,LK,86.97,broken clouds,7.4688,80.0401,Rest House
171,Moerai,PF,78.15,light rain,-22.4333,-151.3333,Le Manotel
172,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
173,Katherine,AU,97.12,scattered clouds,-14.4667,132.2667,Pine Tree Motel
177,Namibe,AO,71.01,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
178,Lavumisa,SZ,78.69,overcast clouds,-27.31,31.892,ROADSIDE B&B
181,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
182,Bela,IN,77.94,few clouds,25.9333,81.9833,Raj Bhawan
183,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
185,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
187,Kualakapuas,ID,80.76,overcast clouds,-3.0091,114.3876,Guest House Izonk
190,Beihai,CN,71.29,few clouds,21.4833,109.1,21 Degree Hostel
195,Stabat,ID,82.6,broken clouds,3.761,98.4513,Link VII damai
196,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
199,Lufilufi,WS,78.58,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
201,Oussouye,SN,72.81,broken clouds,12.485,-16.5469,Auberge du Routard
203,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
205,Biak,ID,83.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
211,Zemio,CF,73.09,overcast clouds,5.0314,25.1361,OCHA Office
215,Kirakira,SB,78.98,overcast clouds,-10.4544,161.9205,SanBiz Lodge
217,Ondo,NG,71.06,scattered clouds,7.1,4.8333,Leisure Spring Hotel
221,Eyl,SO,78.37,few clouds,7.9803,49.8164,Amiin Hotel
227,Trincomalee,LK,82.22,clear sky,8.5711,81.2335,Welcombe Hotel
235,Manakara,MG,81.01,clear sky,-22.1333,48.0167,La Residence Manakara
246,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
248,Guarabira,BR,78.39,scattered clouds,-6.8547,-35.49,Victor's Center Hotel
249,Akyab,MM,82.58,scattered clouds,20.15,92.9,Hotel Memory
251,Pangkalanbuun,ID,83.05,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
253,Vaitape,PF,80.74,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
254,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
256,Pontes E Lacerda,BR,71.82,moderate rain,-15.2261,-59.3353,Hotel Bressan
260,Victoria,HK,74.03,broken clouds,22.2855,114.1577,Mini Hotel Central
261,Cacoal,BR,72.57,very heavy rain,-11.4386,-61.4472,Hotel BR 364
263,Mount Isa,AU,92.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
264,Ambilobe,MG,86.29,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
268,San Patricio,US,75.88,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
271,Aquidauana,BR,76.21,few clouds,-20.4711,-55.7872,HOTEL ARARAS
274,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
